,Unnamed: 0,Company Name,Location,Datum,Detail,Status Rocket,Mission Cost,Status Mission
0,0,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Tue Dec 29, 2020 16:42 UTC","Soyuz ST-A/Fregat-M | CSO-2",StatusActive,30.0 ,Success
1,1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun Dec 27, 2020 15:44 UTC","Long March 4C | Yaogan-33(R) & Weina 2",StatusActive,64.68,Success
2,2,CASC,"LC-201, Wenchang Satellite Launch Center, China","Tue Dec 22, 2020 04:37 UTC","Long March 8 | XJY-7, Haisi-1 & Others",StatusActive,27,Success
3,3,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Dec 19, 2020 14:00 UTC","Falcon 9 Block 5 | NROL-108 LZ-1",StatusActive,50,Success
4,4,Starsem,"Site 1S, Vostochny Cosmodrome, Russia","Fri Dec 18, 2020 12:26 UTC","Soyuz 2.1b/Fregat | OneWeb #4",StatusActive,25,Success
5,5,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Dec 17, 2020 10:09 UTC","PSLV-XL | CMS-01",StatusActive,31,Success
6,6,Astra,"LP-3B,Pacific Spaceport Complex, Kodiak, Alaska, USA","Tue Dec 15, 2020 20:55 UTC","Rocket 3 | Rocket 3.2 Orbital Launch Attempt",StatusActive,2.5,Failure
7,7,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand","Tue Dec 15, 2020 10:09 UTC","Electron/Curie | The Owl’s Night Begins",StatusActive,7.5,Success
8,8,VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia","Mon Dec 14, 2020 05:50 UTC","Angara A5/Briz-M | MGM n°2",StatusActive,100,Success
9,9,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Dec 13, 2020 17:30 UTC","Falcon 9 Block 5 | SXM-7 JRTI",StatusActive,50,Success
10,10,Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Sat Dec 12, 2020 16:19 UTC","SpaceShipTwo | VF-02",StatusActive,,Partial Failure
11,11,ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Fri Dec 11, 2020 01:09 UTC","Delta IV Heavy | NROL-44",StatusActive,5.3,Success
12,12,SpaceX,"Suborbital Pad A, Starbase, Texas, USA","Wed Dec 09, 2020 22:45 UTC","Starship Prototype | 12.5-Kilometer Test Flight Suborbital Texas LZ-A",StatusActive,,Partial Failure
13,13,CASC,"Xichang Satellite Launch Center, China","Wed Dec 09, 2020 20:14 UTC","Long March 11 | GECAM 1 & 2",StatusActive,5.3,Success
14,14,SpaceX,"LC-39A,Kennedy Space Center, Florida, USA","Sun Dec 06, 2020 16:17 UTC","Falcon 9 Block 5 | CRS-21 OCISLY",StatusActive,50,Success
15,15,CASC,"LC-3,Xichang Satellite Launch Center, China","Sun Dec 06, 2020 03:58 UTC","Long March 3B/E | Gaofen 14",StatusActive,29.15,Success
16,16,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Dec 03, 2020 01:14 UTC","Soyuz 2.1b/Fregat-M | Goniets-M n°30L to 32L & Cosmos 2548",StatusActive,25,Success
17,17,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Dec 02, 2020 01:33 UTC","Soyuz ST-A/Fregat-M | Falcon Eye 2",StatusActive,30,Success
18,18,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sun Nov 29, 2020 07:25 UTC","H-IIA 202 | JDRS-1",StatusActive,90,Success
