,CompanyName,Detail,RocketStatus,MissionCost,MissionStatus,DateTime,Match,Location,Latitude,Longitude,SpacePort,Country,Owner,Year
0,AEB,VLS-1 | SACI-2,StatusActive,,Failure,1999-12-11 19:40:00+00:00,0,"Alcântara Space Center, Maranhão, Brazil",-2.339444,-44.4175,Alcântara Space Center, Brazil, Brazil,1999
1,AEB,VLS-1 | SCD-2A,StatusActive,,Failure,1997-11-02 00:00:00+00:00,0,"Alcântara Space Center, Maranhão, Brazil",-2.339444,-44.4175,Alcântara Space Center, Brazil, Brazil,1997
2,AEB,"VLS-1 | SATEC, UNOSAT",StatusActive,,Prelaunch Failure,2003-08-25 00:00:00+00:00,0,"Alcântara Space Center, Maranhão, Brazil",-2.339444,-44.4175,Alcântara Space Center, Brazil, Brazil,2003
3,RVSN USSR,Voskhod | Cosmos 817,StatusRetired,,Success,1976-05-05 07:50:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1976
4,RVSN USSR,Voskhod | Zenit-2M n†­22,StatusRetired,,Failure,1971-08-19 06:30:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
5,RVSN USSR,Proton K/Block D | Luna-18,StatusRetired,,Success,1971-09-02 13:40:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
6,Roscosmos,Zenit-2 FG | Fobos-Grunt & Yinghuo 1,StatusActive,,Success,2011-11-08 20:16:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,2011
7,RVSN USSR,Voskhod | Cosmos 441,StatusRetired,,Success,1971-09-28 07:40:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
8,RVSN USSR,Proton K/Block D | Luna-19,StatusRetired,,Success,1971-09-28 10:00:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
9,RVSN USSR,Voskhod | Cosmos 452,StatusRetired,,Success,1971-10-14 09:00:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
10,RVSN USSR,Voskhod | Intercosmos-6,StatusRetired,,Success,1972-04-07 00:00:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
11,Land Launch,Zenit-3 SLB | Intelsat 18,StatusActive,,Success,2011-10-05 21:00:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,2011
12,RVSN USSR,Voskhod | Cosmos 463,StatusRetired,,Success,1971-12-06 09:50:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
13,RVSN USSR,Voskhod | Cosmos 466,StatusRetired,,Success,1971-12-16 09:39:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
14,RVSN USSR,Tsyklon-2 | Cosmos 469,StatusRetired,,Success,1971-12-25 11:29:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
15,Roscosmos,Zenit-3 SLBF | Spektr-R,StatusActive,,Success,2011-07-18 02:31:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,2011
16,RVSN USSR,Voskhod | Cosmos 471,StatusRetired,,Success,1972-01-12 09:59:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
17,RVSN USSR,Voskhod | Cosmos 473,StatusRetired,,Success,1972-02-03 08:40:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
18,RVSN USSR,Proton K/Block D | Luna-20,StatusRetired,,Success,1972-02-14 03:27:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
19,RVSN USSR,Voskhod | Cosmos 474,StatusRetired,,Success,1972-02-16 09:30:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
20,RVSN USSR,Tsyklon-2 | Cosmos 462,StatusRetired,,Success,1971-12-03 13:19:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
21,RVSN USSR,Sputnik 8K71PS | Sputnik-1,StatusRetired,,Success,1957-10-04 19:28:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1957
22,RVSN USSR,Molniya-M /Block NVL | Cosmos 482,StatusRetired,,Partial Failure,1972-03-31 04:02:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
23,RVSN USSR,Molniya-M /Block SO-L | Prognoz n†­1,StatusRetired,,Success,1972-04-12 00:00:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
24,RVSN USSR,Soyuz L | Cosmos 398 (T2K Lunar Lander),StatusRetired,,Success,1971-02-26 05:06:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1971
25,RVSN USSR,Voskhod | Cosmos 493,StatusRetired,,Success,1972-06-21 06:25:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
26,RVSN USSR,Molniya-M /Block SO-L | Prognoz n†­2,StatusRetired,,Success,1972-06-29 00:00:00+00:00,1,"Baikonur Cosmodrome, Kazakhstan, Russia",46.033611,63.028889,Baikonur Cosmodrome, Russia, Russia,1972
